Source,Target,weight,Count,Year
1,36,1,1,2023
1,817,1,1,2023
1,1496,1,1,2023
1,289,1,1,2023
1,1010,5,5,2022
1,192,1,1,2022
1,11,7,7,2023
192,11,1,1,2022
1,80,2,2,2022
1,122,4,4,2022
1,88,7,7,2023
1,15,2,2,2021
15,11,7,7,2023
1,142,3,3,2021
1,1850,1,1,2021
1,473,5,5,2021
1,967,6,6,2022
1,708,1,1,2019
1,123,2,2,2020
11,123,3,3,2020
1,757,2,2,2019
1,165,4,4,2018
2,1185,1,1,2023
2,815,3,3,2023
2,87,22,22,2023
2,541,4,4,2023
541,87,13,13,2023
2,4,9,9,2022
2,584,1,1,2022
2,155,1,1,2022
2,827,1,1,2022
2,536,2,2,2022
2,908,5,5,2021
2,414,1,1,2021
2,40,1,1,2021
536,40,3,3,2021
2,369,1,1,2021
2,9,1,1,2020
2,1199,1,1,2020
2,999,3,3,2020
2,216,2,2,2020
2,28,2,2,2020
4,28,2,2,2020
2,35,3,3,2020
2,204,2,2,2019
2,347,1,1,2019
2,84,1,1,2018
2,215,4,4,2022
999,215,5,5,2022
999,4,1,1,2018
215,4,1,1,2018
4,115,1,1,2022
4,265,1,1,2022
4,398,2,2,2021
4,673,1,1,2021
398,673,1,1,2021
4,159,1,1,2021
4,95,1,1,2020
4,761,2,2,2019
4,1503,1,1,2019
4,921,1,1,2019
4,31,1,1,2019
4,363,1,1,2018
5,300,6,6,2022
5,1902,1,1,2021
6,644,1,1,2020
8,479,1,1,2023
8,957,1,1,2023
8,439,1,1,2022
8,84,1,1,2022
8,104,2,2,2021
9,43,5,5,2023
9,1900,1,1,2023
9,1673,6,6,2022
9,813,7,7,2022
43,813,3,3,2023
9,493,1,1,2022
9,1786,4,4,2021
9,598,20,20,2021
9,568,2,2,2021
9,513,8,8,2020
513,1786,1,1,2020
513,598,1,1,2020
9,1006,1,1,2019
9,787,1,1,2019
513,787,1,1,2019
11,107,4,4,2023
11,366,1,1,2023
11,544,1,1,2023
544,345,2,2,2023
11,24,1,1,2023
11,230,1,1,2021
11,39,1,1,2021
230,39,6,6,2023
11,1342,1,1,2020
11,473,1,1,2019
11,47,1,1,2018
11,81,1,1,2018
107,81,1,1,2018
12,1488,1,1,2022
12,539,1,1,2018
13,66,8,8,2023
13,725,8,8,2022
13,910,2,2,2021
13,608,1,1,2020
66,608,1,1,2020
725,66,2,2,2023
13,887,1,1,2019
13,377,1,1,2019
13,150,1,1,2018
13,795,1,1,2018
13,1332,1,1,2018
14,418,1,1,2021
14,150,1,1,2021
418,150,1,1,2021
14,331,1,1,2021
418,331,2,2,2021
150,331,1,1,2021
15,546,9,9,2023
15,366,13,13,2023
546,366,3,3,2023
15,291,2,2,2020
366,291,3,3,2020
15,184,1,1,2019
16,1230,1,1,2023
16,899,2,2,2022
16,481,2,2,2022
899,481,7,7,2023
16,19,1,1,2022
16,24,1,1,2020
16,106,2,2,2020
16,174,1,1,2020
16,921,1,1,2019
16,399,1,1,2019
17,224,1,1,2018
18,303,1,1,2023
18,20,1,1,2019
19,1755,2,2,2023
19,4,1,1,2023
19,539,2,2,2023
19,252,5,5,2022
19,1123,1,1,2022
19,498,1,1,2021
19,93,1,1,2021
19,787,1,1,2018
252,787,1,1,2018
20,879,1,1,2023
20,1701,3,3,2021
20,1488,4,4,2020
20,227,2,2,2020
1488,1701,1,1,2019
20,94,1,1,2018
21,470,1,1,2023
21,405,3,3,2023
21,24,1,1,2022
21,230,1,1,2021
21,216,1,1,2021
21,399,1,1,2021
21,1366,1,1,2020
22,71,1,1,2023
22,35,1,1,2023
71,35,1,1,2023
22,135,1,1,2021
