Source,Target,weight
1,36,1
1,817,1
1,1496,1
1,289,1
1,1010,1
1,192,1
1,11,1
192,11,1
1,80,1
1,122,1
1,88,1
1,15,1
15,11,1
1,142,1
1,1850,1
1,473,1
1,967,1
1,708,1
1,123,1
11,123,1
1,757,1
1,165,1
2,1185,1
2,815,1
2,87,1
2,541,1
541,87,1
2,4,1
2,584,1
2,155,1
2,827,1
2,536,1
2,908,1
2,414,1
2,40,1
536,40,1
2,369,1
2,9,1
2,1199,1
2,999,1
2,216,1
2,28,1
4,28,1
2,35,1
2,204,1
2,347,1
2,84,1
2,215,1
999,215,1
999,4,1
215,4,1
4,115,1
4,265,1
4,398,1
4,673,1
398,673,1
4,159,1
4,95,1
4,761,1
4,1503,1
4,921,1
4,31,1
4,363,1
5,300,1
5,1902,1
6,644,1
8,479,1
8,957,1
8,439,1
8,84,1
8,563,1
8,1415,1
8,104,1
1415,104,1
9,43,1
9,1900,1
9,1673,1
9,813,1
43,813,1
9,493,1
9,1786,1
9,598,1
9,568,1
9,513,1
513,1786,1
513,598,1
9,1006,1
9,787,1
513,787,1
11,345,1
11,107,1
11,366,1
11,544,1
544,345,1
11,24,1
11,688,1
11,230,1
11,39,1
230,39,1
11,1342,1
11,473,1
11,47,1
11,81,1
107,81,1
12,1488,1
12,539,1
13,66,1
13,725,1
13,910,1
13,608,1
66,608,1
725,66,1
13,887,1
13,377,1
13,150,1
13,795,1
13,1332,1
14,418,1
14,150,1
418,150,1
14,331,1
418,331,1
150,331,1
14,1975,1
15,546,1
15,366,1
546,366,1
15,291,1
366,291,1
15,184,1
16,1230,1
16,899,1
16,481,1
899,481,1
16,19,1
16,24,1
16,106,1
16,174,1
16,921,1
16,399,1
17,1781,1
17,224,1
18,303,1
18,20,1
19,1755,1
19,4,1
19,539,1
19,252,1
19,1123,1
19,498,1
19,93,1
19,787,1
252,787,1
20,879,1
20,1701,1
20,1488,1
20,227,1
1488,1701,1
20,94,1
21,470,1
21,405,1
21,24,1
21,230,1
21,216,1
21,399,1
21,1366,1
22,71,1
22,35,1
71,35,1
22,135,1
23,38,1
23,64,1
24,123,1
24,278,1
24,345,1
24,1326,1
24,968,1
25,1,1
25,58,1
25,242,1
58,242,1
25,522,1
25,414,1
414,58,1
25,1128,1
25,114,1
25,973,1
26,87,1
26,752,1
87,752,1
26,107,1
26,259,1
87,259,1
26,159,1
26,1,1
1,1,1
27,233,1
27,525,1
28,761,1
28,787,1
761,787,1
28,87,1
28,584,1
28,535,1
28,714,1
28,182,1
28,1016,1
87,1016,1
29,1535,1
30,322,1
30,1176,1
322,1176,1
30,1187,1
30,147,1
30,883,1
30,912,1
31,227,1
31,1716,1
31,224,1
31,1488,1
31,1792,1
227,1792,1
31,86,1
32,646,1
32,1281,1
646,1281,1
32,338,1
33,405,1
33,84,1
33,146,1
33,1476,1
146,1476,1
33,408,1
33,927,1
34,1015,1
34,67,1
34,245,1
35,36,1
35,258,1
35,1817,1
36,1817,1
35,265,1
35,377,1
35,64,1
35,264,1
35,204,1
36,1818,1
35,1818,1
36,664,1
36,651,1
