Source,Target,weight
1,36,1
1,817,1
1,1496,1
1,289,1
1,1010,5
1,192,1
1,11,7
192,11,1
1,80,2
1,122,4
1,88,7
1,15,2
15,11,7
1,142,3
1,1850,1
1,473,5
1,967,6
1,708,1
1,123,2
11,123,3
1,757,2
1,165,4
2,1185,1
2,815,3
2,87,22
2,541,4
541,87,13
2,4,9
2,584,1
2,155,1
2,827,1
2,536,2
2,908,5
2,414,1
2,40,1
536,40,3
2,369,1
2,9,1
2,1199,1
2,999,3
2,216,2
2,28,2
4,28,2
2,35,3
2,204,2
2,347,1
2,84,1
2,215,4
999,215,5
999,4,1
215,4,1
4,115,1
4,265,1
4,398,2
4,673,1
398,673,1
4,159,1
4,95,1
4,761,2
4,1503,1
4,921,1
4,31,1
4,363,1
5,300,6
5,1902,1
6,644,1
8,479,1
8,957,1
8,439,1
8,84,1
8,563,1
8,1415,1
8,104,2
1415,104,2
9,43,5
9,1900,1
9,1673,6
9,813,7
43,813,3
9,493,1
9,1786,4
9,598,20
9,568,2
9,513,8
513,1786,1
513,598,1
9,1006,1
9,787,1
513,787,1
11,345,3
11,107,4
11,366,1
11,544,1
544,345,2
11,24,1
11,688,1
11,230,1
11,39,1
230,39,6
11,1342,1
11,473,1
11,47,1
11,81,1
107,81,1
12,1488,1
12,539,1
13,66,8
13,725,8
13,910,2
13,608,1
66,608,1
725,66,2
13,887,1
13,377,1
13,150,1
13,795,1
13,1332,1
14,418,1
14,150,1
418,150,1
14,331,1
418,331,2
150,331,1
14,1975,1
15,546,9
15,366,13
546,366,3
15,291,2
366,291,3
15,184,1
16,1230,1
16,899,2
16,481,2
899,481,7
16,19,1
16,24,1
16,106,2
16,174,1
16,921,1
16,399,1
17,1781,5
17,224,1
18,303,1
18,20,1
19,1755,2
19,4,1
19,539,2
19,252,5
19,1123,1
19,498,1
19,93,1
19,787,1
252,787,1
20,879,1
20,1701,3
20,1488,4
20,227,2
1488,1701,1
20,94,1
21,470,1
21,405,3
21,24,1
21,230,1
21,216,1
21,399,1
21,1366,1
22,71,1
22,35,1
71,35,1
22,135,1
23,38,2
23,64,5
24,123,2
24,278,1
24,345,1
24,1326,1
24,968,1
25,1,1
25,58,5
25,242,5
58,242,1
25,522,1
25,414,2
414,58,1
25,1128,2
25,114,1
25,973,1
26,87,6
26,752,2
87,752,1
26,107,1
26,259,2
87,259,1
26,159,1
26,1,3
1,1,1
27,233,1
27,525,1
28,761,2
28,787,4
761,787,5
28,87,5
28,584,3
28,535,2
28,714,1
28,182,1
28,1016,1
87,1016,1
29,1535,1
30,322,3
30,1176,2
322,1176,3
30,1187,2
30,147,2
30,883,1
30,912,2
31,227,3
31,1716,2
31,224,1
31,1488,2
31,1792,3
227,1792,3
31,86,1
32,646,1
32,1281,2
646,1281,12
32,338,3
33,405,1
33,84,2
33,146,1
33,1476,1
146,1476,4
33,408,1
33,927,1
34,1015,1
34,67,1
34,245,1
35,36,6
35,258,1
35,1817,2
36,1817,3
35,265,1
35,377,1
35,64,1
35,264,2
35,204,2
36,1818,2
35,1818,2
36,664,1
36,651,1
