Source,Target,weight
1,36,0.5
1,817,0.5
1,1496,0.5
1,289,0.5
1,1010,3.0
1,192,0.5
1,11,4.0
192,11,0.5
1,80,1.0
1,122,2.0
1,88,3.5
1,15,1.0
15,11,3.5
1,142,1.5
1,1850,0.5
1,473,2.5
1,967,3.0
1,708,1.0
1,123,1.0
11,123,1.5
1,757,1.5
1,165,2.0
2,1185,0.5
2,815,1.5
2,87,11.0
2,541,2.0
541,87,6.5
2,4,4.5
2,584,0.5
2,155,0.5
2,827,0.5
2,536,1.0
2,908,2.5
2,414,0.5
2,40,0.5
536,40,1.5
2,369,0.5
2,9,0.5
2,1199,0.5
2,999,1.5
2,216,1.5
2,28,1.0
4,28,1.0
2,35,1.5
2,204,1.0
2,347,0.5
2,84,0.5
2,215,2.0
999,215,2.5
999,4,0.5
215,4,0.5
4,115,0.5
4,265,0.5
4,398,1.5
4,673,0.5
398,673,0.5
4,159,0.5
4,95,0.5
4,761,1.0
4,1503,0.5
4,921,0.5
4,31,1.0
4,363,0.5
5,300,3.0
5,1902,1.0
6,644,1.0
8,479,0.5
8,957,0.5
8,439,0.5
8,84,0.5
8,563,0.5
8,1415,1.0
8,104,1.0
1415,104,1.0
9,43,2.5
9,1900,1.0
9,1673,4.0
9,813,3.5
43,813,1.5
9,493,1.0
9,1786,2.5
9,598,10.0
9,568,1.0
9,513,4.0
513,1786,0.5
513,598,0.5
9,1006,0.5
9,787,0.5
513,787,0.5
11,345,1.5
11,107,2.0
11,366,0.5
11,544,0.5
544,345,1.0
11,24,0.5
11,688,0.5
11,230,0.5
11,39,0.5
230,39,3.5
11,1342,0.5
11,473,0.5
11,47,0.5
11,81,0.5
107,81,0.5
12,1488,0.5
12,539,0.5
13,66,4.0
13,725,5.0
13,910,1.0
13,608,0.5
66,608,0.5
725,66,1.0
13,887,0.5
13,377,0.5
13,150,0.5
13,795,0.5
13,1332,0.5
14,418,1.0
14,150,0.5
418,150,0.5
14,331,0.5
418,331,1.5
150,331,0.5
14,1975,0.5
15,546,4.5
15,366,6.5
546,366,2.0
15,291,1.0
366,291,1.5
15,184,0.5
16,1230,0.5
16,899,2.0
16,481,1.0
899,481,3.5
16,19,0.5
16,24,0.5
16,106,1.0
16,174,0.5
16,921,0.5
16,399,0.5
17,1781,2.5
17,224,0.5
18,303,0.5
18,20,0.5
19,1755,1.0
19,4,0.5
19,539,1.0
19,252,2.5
19,1123,0.5
19,498,0.5
19,93,1.0
19,787,0.5
252,787,0.5
20,879,0.5
20,1701,1.5
20,1488,3.5
20,227,1.0
1488,1701,0.5
20,94,0.5
21,470,0.5
21,405,1.5
21,24,0.5
21,230,0.5
21,216,0.5
21,399,0.5
21,1366,0.5
22,71,0.5
22,35,0.5
71,35,0.5
22,135,0.5
23,38,1.0
23,64,2.5
24,123,1.0
24,278,1.0
24,345,0.5
24,1326,0.5
24,968,1.0
25,1,0.5
25,58,2.5
25,242,2.5
58,242,0.5
25,522,0.5
25,414,1.0
414,58,0.5
25,1128,1.0
25,114,0.5
25,973,0.5
26,87,3.0
26,752,1.0
87,752,0.5
26,107,0.5
26,259,1.0
87,259,0.5
26,159,0.5
26,1,2.5
1,1,0.5
27,233,0.5
27,525,0.5
28,761,1.0
28,787,2.0
761,787,2.5
28,87,2.5
28,584,1.5
28,535,1.0
28,714,0.5
28,182,0.5
28,1016,0.5
87,1016,0.5
29,1535,0.5
30,322,1.5
30,1176,1.0
322,1176,1.5
30,1187,2.0
30,147,1.0
30,883,0.5
30,912,1.5
31,227,1.5
31,1716,2.0
31,224,0.5
31,1488,2.0
31,1792,1.5
227,1792,1.5
31,86,0.5
32,646,1.0
32,1281,1.0
646,1281,7.0
32,338,1.5
33,405,0.5
33,84,1.0
33,146,0.5
33,1476,0.5
146,1476,2.0
33,408,0.5
33,927,0.5
34,1015,0.5
34,67,0.5
34,245,0.5
35,36,4.0
35,258,0.5
35,1817,1.0
36,1817,2.0
35,265,0.5
35,377,0.5
35,64,0.5
35,264,1.0
35,204,1.0
36,1818,1.0
35,1818,1.0
36,664,0.5
36,651,0.5
36,250,1.0
38,64,2.0
38,124,1.0
64,124,1.0
38,102,1.5
38,128,0.5
38,114,0.5
64,114,0.5
124,114,0.5
38,1338,2.5
38,241,1.5
1338,23,4.0
38,109,0.5
39,446,5.0
230,446,5.0
39,745,1.5
39,1818,1.0
40,699,1.0
40,14,1.0
699,14,1.0
40,159,0.5
41,1686,0.5
41,525,1.0
41,347,0.5
41,665,0.5
43,1316,4.5
43,1293,5.0
43,84,4.5
1293,84,1.0
43,598,1.0
813,598,2.0
43,414,3.5
1316,1293,1.5
43,787,1.0
43,19,1.0
414,19,0.5
84,1316,0.5
43,1171,1.5
84,1171,0.5
1316,1171,0.5
1293,414,0.5
43,253,0.5
44,48,5.5
44,617,0.5
44,903,0.5
48,903,0.5
45,1216,0.5
45,121,0.5
47,92,0.5
47,1018,2.0
47,24,1.0
47,860,1.5
47,42,1.0
11,42,0.5
47,121,3.5
47,26,0.5
50,93,1.5
50,1708,0.5
51,909,0.5
51,276,2.0
51,837,0.5
51,415,0.5
51,15,0.5
51,193,0.5
51,311,0.5
51,54,1.0
51,230,0.5
51,446,0.5
51,1105,0.5
54,1105,2.5
53,80,0.5
53,1203,0.5
54,745,3.0
54,255,3.0
54,1172,1.0
54,230,4.5
1105,230,1.0
54,477,1.0
54,276,0.5
54,136,1.0
54,909,1.0
909,230,1.5
54,47,0.5
1105,255,1.5
55,99,2.0
56,909,1.0
57,1845,1.0
57,464,1.0
57,236,0.5
57,114,0.5
60,1488,5.0
60,120,2.5
1488,120,1.0
61,1542,1.0
61,123,0.5
61,192,0.5
62,243,1.0
62,1049,0.5
243,1049,0.5
62,1464,0.5
63,1079,1.5
63,128,0.5
63,1210,1.0
66,224,0.5
66,31,1.0
66,175,3.0
66,945,1.0
66,289,1.5
66,1,0.5
66,483,0.5
483,13,3.5
67,181,0.5
71,109,4.0
71,695,0.5
71,829,2.0
71,159,1.0
71,135,1.0
71,114,0.5
73,1175,0.5
73,1295,1.0
73,513,0.5
73,9,1.5
73,859,2.0
73,305,4.0
73,71,0.5
73,168,0.5
73,143,0.5
168,143,3.5
73,86,2.5
73,114,0.5
75,347,2.5
75,520,2.0
76,1860,0.5
76,1010,0.5
76,963,0.5
76,150,0.5
963,150,1.0
76,1041,1.5
76,373,1.0
77,62,1.0
78,1500,0.5
79,847,1.5
79,1041,1.5
79,476,1.5
79,339,0.5
80,120,0.5
80,73,0.5
80,19,0.5
80,108,2.0
80,310,0.5
80,1514,0.5
81,1391,1.0
81,101,0.5
81,286,0.5
82,265,1.0
82,137,1.0
82,413,0.5
82,14,0.5
413,14,1.5
82,123,1.0
82,1386,0.5
82,170,1.0
1386,170,6.5
82,468,0.5
265,468,0.5
84,135,0.5
84,1371,0.5
84,216,2.5
84,418,0.5
84,21,0.5
84,518,1.5
84,94,1.0
84,525,0.5
85,439,0.5
85,901,2.0
86,120,0.5
86,150,0.5
86,27,0.5
87,483,0.5
87,584,0.5
87,44,0.5
87,535,0.5
88,1491,1.0
88,721,1.5
88,503,7.0
88,479,2.5
503,479,10.5
89,30,0.5
89,377,1.0
89,41,0.5
91,496,0.5
92,719,1.0
92,87,1.0
92,28,0.5
93,140,1.5
93,120,2.5
93,1781,1.5
93,1902,1.0
93,107,0.5
94,93,0.5
94,904,5.0
94,140,3.5
94,75,1.0
94,1106,1.0
94,1984,1.0
94,224,1.5
94,1614,1.0
1614,1984,0.5
224,75,0.5
94,602,0.5
94,727,1.0
95,483,1.0
95,162,3.5
95,482,0.5
98,831,0.5
98,324,3.0
98,612,0.5
98,267,0.5
98,472,1.0
99,150,2.0
99,1792,0.5
102,137,1.0
102,1362,0.5
137,1362,0.5
102,913,0.5
913,137,1.0
102,1349,0.5
102,300,0.5
102,1953,0.5
104,322,1.0
104,1279,0.5
105,694,1.0
105,498,0.5
105,1894,0.5
105,740,1.0
107,15,1.0
107,829,0.5
107,1727,1.0
107,490,0.5
107,65,0.5
107,109,0.5
108,1190,1.5
108,1932,1.0
108,242,1.0
108,1774,0.5
109,962,0.5
109,1996,0.5
113,1934,0.5
114,695,3.5
114,135,0.5
115,809,0.5
118,229,12.0
118,102,0.5
118,1987,0.5
118,961,0.5
118,4,0.5
118,150,1.0
118,428,1.5
229,428,0.5
118,16,0.5
16,428,0.5
16,229,0.5
118,1615,0.5
119,207,1.0
119,304,0.5
119,659,0.5
304,659,6.5
119,73,0.5
120,565,1.5
120,836,1.0
120,279,0.5
836,279,1.0
120,356,1.0
836,356,3.0
279,356,1.0
120,135,0.5
565,135,0.5
120,241,0.5
120,413,0.5
120,711,1.0
120,536,0.5
121,16,1.5
121,860,0.5
121,20,0.5
121,470,1.0
121,71,0.5
122,265,2.0
122,427,1.5
265,427,0.5
122,820,1.5
122,1259,1.0
1259,1,2.5
122,1771,0.5
122,35,2.0
122,1560,0.5
122,236,0.5
122,1492,0.5
122,2,0.5
122,4,0.5
122,57,0.5
123,1319,0.5
123,1995,1.0
123,1611,0.5
123,150,0.5
1611,150,3.5
123,640,1.5
124,1738,1.5
124,752,1.0
124,385,0.5
125,724,0.5
125,93,1.0
126,1092,1.5
127,475,1.0
