Source,Target,weight
1,36,2023
1,817,2023
1,1496,2023
1,289,2023
1,1010,2022
1,192,2022
1,11,2023
192,11,2022
1,80,2022
1,122,2022
1,88,2023
1,15,2021
15,11,2023
1,142,2021
1,1850,2021
1,473,2021
1,967,2022
1,708,2019
1,123,2020
11,123,2020
1,757,2019
1,165,2018
2,1185,2023
2,815,2023
2,87,2023
2,541,2023
541,87,2023
2,4,2022
2,584,2022
2,155,2022
2,827,2022
2,536,2022
2,908,2021
2,414,2021
2,40,2021
536,40,2021
2,369,2021
2,9,2020
2,1199,2020
2,999,2020
2,216,2020
2,28,2020
4,28,2020
2,35,2020
2,204,2019
2,347,2019
2,84,2018
2,215,2022
999,215,2022
999,4,2018
215,4,2018
4,115,2022
4,265,2022
4,398,2021
4,673,2021
398,673,2021
4,159,2021
4,95,2020
4,761,2019
4,1503,2019
4,921,2019
4,31,2019
4,363,2018
5,300,2022
5,1902,2021
6,644,2020
8,479,2023
8,957,2023
8,439,2022
8,84,2022
8,563,2021
8,1415,2021
8,104,2021
1415,104,2021
9,43,2023
9,1900,2023
9,1673,2022
9,813,2022
43,813,2023
9,493,2022
9,1786,2021
9,598,2021
9,568,2021
9,513,2020
513,1786,2020
513,598,2020
9,1006,2019
9,787,2019
513,787,2019
11,345,2024
11,107,2023
11,366,2023
11,544,2023
544,345,2023
11,24,2023
11,688,2021
11,230,2021
11,39,2021
230,39,2023
11,1342,2020
11,473,2019
11,47,2018
11,81,2018
107,81,2018
12,1488,2022
12,539,2018
13,66,2023
13,725,2022
13,910,2021
13,608,2020
66,608,2020
725,66,2023
13,887,2019
13,377,2019
13,150,2018
13,795,2018
13,1332,2018
14,418,2021
14,150,2021
418,150,2021
14,331,2021
418,331,2021
150,331,2021
14,1975,2019
15,546,2023
15,366,2023
546,366,2023
15,291,2020
366,291,2020
15,184,2019
16,1230,2023
16,899,2022
16,481,2022
899,481,2023
16,19,2022
16,24,2020
16,106,2020
16,174,2020
16,921,2019
16,399,2019
17,1781,2023
17,224,2018
18,303,2023
18,20,2019
19,1755,2023
19,4,2023
19,539,2023
19,252,2022
19,1123,2022
19,498,2021
19,93,2021
19,787,2018
252,787,2018
20,879,2023
20,1701,2021
20,1488,2020
20,227,2020
1488,1701,2019
20,94,2018
21,470,2023
21,405,2023
21,24,2022
21,230,2021
21,216,2021
21,399,2021
21,1366,2020
22,71,2023
22,35,2023
71,35,2023
22,135,2021
23,38,2023
23,64,2022
24,123,2022
24,278,2021
24,345,2021
24,1326,2018
24,968,2018
25,1,2022
25,58,2022
25,242,2021
58,242,2021
25,522,2021
25,414,2020
414,58,2020
25,1128,2020
25,114,2020
25,973,2018
26,87,2023
26,752,2023
87,752,2023
26,107,2023
26,259,2022
87,259,2022
26,159,2021
26,1,2019
1,1,2019
27,233,2023
27,525,2018
28,761,2023
28,787,2023
761,787,2023
28,87,2022
28,584,2021
28,535,2020
28,714,2019
28,182,2018
28,1016,2018
87,1016,2018
29,1535,2021
30,322,2023
30,1176,2023
322,1176,2023
30,1187,2022
30,147,2022
30,883,2019
30,912,2018
31,227,2023
31,1716,2023
31,224,2020
31,1488,2020
31,1792,2019
227,1792,2019
31,86,2018
32,646,2022
32,1281,2022
646,1281,2023
32,338,2020
33,405,2021
33,84,2021
33,146,2019
33,1476,2019
